team1,Caleb,Williams,QB,Chicago Bears
team1,D'Andre,Swift,RB,Chicago Bears
team1,Travis,Kelce,TE,Kansas City Chiefs
team2,Patrick,Mahomes,QB,Kansas City Chiefs
team2,DeVonta,Smith,WR,Philadelphia Eagles
team2,Derrick,Henry,RB,Baltimore Ravens
team1,Justin,Herbert,QB,Los Angeles Chargers
myTeam,Caleb,Williams,QB,Chicago Bears
myTeam,Puka,Nacua,WR,Los Angeles Rams
myTeam,Drake,London,WR,Atlanta Falcons
myTeam,Kyren,Williams,RB,Los Angeles Rams
myTeam,Matt,Prater,PK,Buffalo Bills
myTeam,Bijan,Robinson,RB,Atlanta Falcons
team1,Caleb,Williams,QB,Chicago Bears
testTeam,Caleb,Williams,QB,Chicago Bears
testTeam,Xavier,Worthy,WR,Kansas City Chiefs
testTeam,Kyren,Williams,RB,Los Angeles Rams
testTeam,Jaxon,Smith-Njigba,WR,Seattle Seahawks
testTeam,D'Andre,Swift,RB,Chicago Bears
FinalReportTeam,Caleb,Williams,QB,Chicago Bears
FinalReportTeam,Xavier,Worthy,WR,Kansas City Chiefs
FinalReportTeam,Kyren,Williams,RB,Los Angeles Rams
